timestamp,forecasted_power
2017-10-31 08:20:00+00:00,32774.41058878904
2017-10-31 08:25:00+00:00,33027.31680541963
2017-10-31 08:30:00+00:00,33212.93661579692
2017-10-31 08:35:00+00:00,33121.374559421056
2017-10-31 08:40:00+00:00,32114.36499612438
2017-10-31 08:45:00+00:00,30926.707599906753
2017-10-31 08:50:00+00:00,30404.482020099058
2017-10-31 08:55:00+00:00,30291.35769492572
2017-10-31 09:00:00+00:00,30239.11496969141
2017-10-31 09:05:00+00:00,30337.56557393604
2017-10-31 09:10:00+00:00,30225.451655418103
2017-10-31 09:15:00+00:00,30435.86151714846
2017-10-31 09:20:00+00:00,30470.918131338232
2017-10-31 09:25:00+00:00,30540.00698587666
2017-10-31 09:30:00+00:00,30425.365006741828
2017-10-31 09:35:00+00:00,30448.9378689581
2017-10-31 09:40:00+00:00,31299.69414086662
2017-10-31 09:45:00+00:00,32509.491911105666
2017-10-31 09:50:00+00:00,32924.260777178264
2017-10-31 09:55:00+00:00,33040.10393428576
2017-10-31 10:00:00+00:00,33027.74263425282
2017-10-31 10:05:00+00:00,32767.801725297915
2017-10-31 10:10:00+00:00,32441.343627293994
2017-10-31 10:15:00+00:00,32476.408758060432
2017-10-31 10:20:00+00:00,32488.11053439653
2017-10-31 10:25:00+00:00,32793.2342671945
2017-10-31 10:30:00+00:00,32925.04021427454
2017-10-31 10:35:00+00:00,32753.046245233236
2017-10-31 10:40:00+00:00,31598.94245775575
2017-10-31 10:45:00+00:00,30275.96687824192
2017-10-31 10:50:00+00:00,29700.82917027414
2017-10-31 10:55:00+00:00,29562.36802952592
2017-10-31 11:00:00+00:00,29495.243778892305
2017-10-31 11:05:00+00:00,29604.941374279188
2017-10-31 11:10:00+00:00,29462.664466522503
2017-10-31 11:15:00+00:00,29598.98147392984
2017-10-31 11:20:00+00:00,29550.658077276225
2017-10-31 11:25:00+00:00,29551.911376698074
2017-10-31 11:30:00+00:00,29410.928647931225
2017-10-31 11:35:00+00:00,29514.262997897964
2017-10-31 11:40:00+00:00,30496.379629595474
2017-10-31 11:45:00+00:00,31897.054322654858
2017-10-31 11:50:00+00:00,32488.631748888354
2017-10-31 11:55:00+00:00,32744.379095493994
2017-10-31 12:00:00+00:00,32783.0409469171
2017-10-31 12:05:00+00:00,32464.34860417832
2017-10-31 12:10:00+00:00,32047.242108143033
2017-10-31 12:15:00+00:00,31981.316310177554
2017-10-31 12:20:00+00:00,31892.4267555588
2017-10-31 12:25:00+00:00,32136.932561631253
2017-10-31 12:30:00+00:00,32275.767069100417
2017-10-31 12:35:00+00:00,32114.812627393832
2017-10-31 12:40:00+00:00,31028.97669646438
2017-10-31 12:45:00+00:00,29770.837815092258
2017-10-31 12:50:00+00:00,29278.477144340068
